id_anexo,id_doc,id_subdoc,anexo
1,3,0,edoc_793/2020/10/13/6B7ABFE9B97263E8AFFE1A50/Documento 01 SAMAE JS.pdf
2,8,0,edoc_793/2020/10/13/DA5202AF9E9D61C2EF20F216/Documento 01 SAMAE JS.pdf
3,8,0,edoc_793/2020/10/13/DA5202AF9E9D61C2EF20F216/Documento 02 SAMAE.pdf
4,9,0,edoc_793/2020/10/13/4414037BDFB101D6EFE13F92/1. RG e CPF do propietário do imóvel.pdf
5,9,0,edoc_793/2020/10/13/4414037BDFB101D6EFE13F92/2. Carnê do IPTU.pdf
6,9,0,edoc_793/2020/10/13/4414037BDFB101D6EFE13F92/3. Matrícula do Imóvel.pdf
7,10,0,edoc_793/2020/10/13/F2CC386FCB441736119D3199/1. RG e CPF do propietário do imóvel.pdf
8,0,11,edoc_793/2020/10/13/3E50065A3033525C23D265AD/Boleto SAMAE.pdf
9,0,16,edoc_793/2020/10/13/339F6BBBB3C366AD4D775391/1. RG e CPF do propietario do imovel.pdf 2. Carne do IPTU.pdf.zip
10,30,0,edoc_793/2020/10/27/6B77267BBA39F95C2ADFA1FA/1. RG e CPF do propietário do imóvel.pdf
11,0,44,edoc_793/2020/10/28/D8D519B4A6BDD3E3CBCAA2A4/Documento 01 SAMAE JS.pdf
12,49,0,edoc_793/2020/10/28/ADA99EBF2D41E411FE049C85/Documento 01 SAMAE JS.pdf
13,0,52,edoc_793/2020/10/28/545BCDDBBAE3C4D8D3268DD9/Documento 01 SAMAE JS.pdf
14,0,52,edoc_793/2020/10/28/545BCDDBBAE3C4D8D3268DD9/Documento 02 SAMAE.pdf
15,0,52,edoc_793/2020/10/28/545BCDDBBAE3C4D8D3268DD9/TR - Compra.pdf
16,0,61,edoc_793/2020/10/28/F2037D8AEBC7D0668B529173/a8b90920de5d1ab0c2c725b21ab0c6fa.jpg
17,66,0,edoc_793/2020/10/28/678B311D7B6A3A208ABB5CF8/teste33_0_3 (2).pdf
18,78,0,edoc_793/2020/10/28/1364B76341B762457699E9B3/2. Carnê do IPTU (2).pdf
19,78,0,edoc_793/2020/10/28/1364B76341B762457699E9B3/4. Projeto_Arquitetônico.dwg
20,78,0,edoc_793/2020/10/28/1364B76341B762457699E9B3/cidade-jaragua-do-sul.png
21,78,0,edoc_793/2020/10/28/1364B76341B762457699E9B3/TR - Compra.docx
22,78,0,edoc_793/2020/10/28/1364B76341B762457699E9B3/Usuários SAMAE.xlsx
23,80,0,edoc_793/2020/10/28/A6A9FAC11B26757A6D9E478B/1. RG e CPF do propietário do imóvel.pdf
24,123,0,edoc_793/2021/04/29/FA3542C906C32DA47FC2113F/CURSO [28-04] Treinamento Magia no Atendimento.pdf
25,0,124,edoc_793/2021/04/29/B533307CCC91D29389A1FA8C/Pedido de exoneração.docx
26,0,125,edoc_793/2021/04/29/6A417DBECD1730A576AC749B/Pedido de exoneração.pdf
27,0,126,edoc_793/2021/04/29/89966AB4F48CFCA90E806F09/Revista Prestação de Contas - Edição 8.pdf
28,0,127,edoc_793/2021/04/29/C5A67644B036915CF2C9F476/Teste 1.pdf
29,0,127,edoc_793/2021/04/29/C5A67644B036915CF2C9F476/Teste 2.pdf
30,130,0,edoc_793/2021/04/29/CF3D88AB6D8186D9373D583F/edital_031.2021_-_leilao.pdf
31,130,0,edoc_793/2021/04/29/CF3D88AB6D8186D9373D583F/edital_029.2021.pdf
32,130,0,edoc_793/2021/04/29/CF3D88AB6D8186D9373D583F/Cotação Auto - Maiquel Machado (2).PDF
33,0,131,edoc_793/2021/04/29/AFDD8F70C459048188A4447E/Scan.pdf
34,0,132,edoc_793/2021/04/29/EF04E26F4CF3FDFD99537BA3/BDXP_210406_202066503_31_5177202181310619167_0___000622.pdf
35,0,133,edoc_793/2021/04/29/80E9794B3DBE6F344201DCAF/Certificado_Leticia_Andrade_RWUF-KB-4Q4A (1).pdf
36,142,0,edoc_793/2021/04/29/ADD0919A1EEDCC197DE650E4/PIC 06984320210 KATIANE Mª DE BITTENCOURT.pdf
37,0,144,edoc_793/2021/04/29/F07A2F48FE94B4E12418058C/declaração samae asssinada.pdf
38,146,0,edoc_793/2021/04/29/1E031AA4B9501C39A47666A4/ART Tuhã - Ampliação ETE AV - Rotária.pdf
39,146,0,edoc_793/2021/04/29/1E031AA4B9501C39A47666A4/Planta Hidráulica_ETE AV - 2019 - Tubulações Efluentes Líquidos-FOLHA 01.pdf
40,146,0,edoc_793/2021/04/29/1E031AA4B9501C39A47666A4/Contrato 348.2019 - Rotaria do Brasil.pdf
41,147,0,edoc_793/2021/04/29/BDE35BC1708B156B7C211BBE/MCI.zip
42,147,0,edoc_793/2021/04/29/BDE35BC1708B156B7C211BBE/30920.20 Katia Staehelin.pdf
43,147,0,"edoc_793/2021/04/29/BDE35BC1708B156B7C211BBE/ART 6397190-1 - Projeto rede esgoto - Lourenço Kanzler, Heinz Mahnke, Roberto Marquardt, Leopoldo Veloso, Max N. W. Schmidt, Tharcicio O. Motta e Vitorino Stringari.pdf"
44,147,0,edoc_793/2021/04/29/BDE35BC1708B156B7C211BBE/TR DO 027 -Serviço de Topografia REV.01.pdf
45,147,0,edoc_793/2021/04/29/BDE35BC1708B156B7C211BBE/Ordem de Serviço - Rua Joaquim Francisco de Paula 1.pdf
46,147,0,edoc_793/2021/04/29/BDE35BC1708B156B7C211BBE/Rede de esgoto - Bacia 1C - Chico de Paulo (Joaquim Francisco de Paula) - 1 de 7 - REDE.pdf
47,147,0,edoc_793/2021/04/29/BDE35BC1708B156B7C211BBE/Rede de esgoto - Bacia 1C - Chico de Paulo (Joaquim Francisco de Paula) - 2 de 7 - REDE.pdf
48,148,0,edoc_793/2021/04/29/0C672E2BD7A7938A86F70917/PIC 07006720215 CELSO DA SILVA.pdf
49,150,0,edoc_793/2021/04/30/654FD6D0940A1387665E9588/Scan.pdf
50,154,0,edoc_793/2021/04/30/A0A715C1EC22410CA22EAF89/Atestados Médicos 29 e 30 Sandra Regina.pdf
51,0,161,edoc_793/2021/04/30/CD13D26CF79F4B500D2B31C2/3074228042021180537779_.pdf
52,0,163,edoc_793/2021/04/30/8ECCA96DC98E3A267D2637F6/3074228042021180524839_.pdf
53,0,166,edoc_793/2021/04/30/208CB03908F043B7A1C9E1C9/3074228042021180537779_.pdf
54,0,167,edoc_793/2021/04/30/E47F18A83F042FB5750AF53A/Ordem de Serviço - Rua Joaquim Francisco de Paula 3.pdf
55,0,171,edoc_793/2021/04/30/AA48A3EAA86A1CFF74B2586A/Ordem de Serviço - Rua Joaquim Francisco de Paula 3.pdf
56,175,0,edoc_793/2021/04/30/099B0FD0AE55437181E3C21B/3074228042021180524839_.pdf
57,0,176,edoc_793/2021/04/30/6F5F22760D4A20341D2C3943/Planta Hidráulica_ETE AV - 2019 - Tubulações Efluentes Líquidos-FOLHA 01 - correções - 1 - 30.04.2021.pdf
58,0,176,edoc_793/2021/04/30/6F5F22760D4A20341D2C3943/023.2021 - 1 - Apartbelo Incorporações Ltda.doc
59,0,177,edoc_793/2021/04/30/AA0ECA51FF6F71C08B688C8D/Notificação Procon.pdf
60,0,178,edoc_793/2021/04/30/F30752882B2C64CB076A3862/023.2021 - 1 - Apartbelo Incorporações Ltda (2).pdf
61,0,179,edoc_793/2021/04/30/E481C45188CE3BC033B79B70/Reforma e ampliação casa 2020-A1.pdf - REVISÃO 1.pdf
62,0,180,edoc_793/2021/04/30/5ADA305AE9955DEF98886747/Planta Hidráulica_ETE AV - 2019 - Tubulações Efluentes Líquidos-FOLHA 01.pdf
63,0,185,edoc_793/2021/04/30/F5999C10D1BDB40043B7FAB0/023.2021 - 1 - Apartbelo Incorporações Ltda (2).pdf
64,0,185,edoc_793/2021/04/30/F5999C10D1BDB40043B7FAB0/Correção 30-04-2021 - Ordem de Serviço - Rua Joaquim Francisco de Paula 1 (2).pdf
65,0,189,edoc_793/2021/04/30/C5306798489CA2E8EF2941AD/Reforma e ampliação casa 2020-A1.pdf - REVISÃO 1.pdf
66,0,191,edoc_793/2021/04/30/AA544127701D2B7775AC0348/Ordem de Serviço - Rua Joaquim Francisco de Paula 4-2C.pdf
67,0,192,edoc_793/2021/04/30/A4F0E6734DA94B3479B69F54/30920.20 Katia Staehelin.pdf
68,0,192,"edoc_793/2021/04/30/A4F0E6734DA94B3479B69F54/ART 6397190-1 - Projeto rede esgoto - Lourenço Kanzler, Heinz Mahnke, Roberto Marquardt, Leopoldo Veloso, .pdf"
69,0,192,edoc_793/2021/04/30/A4F0E6734DA94B3479B69F54/Ordem de Serviço - Rua Joaquim Francisco de Paula 1.pdf
70,200,0,edoc_793/2021/05/03/1FCBEC05FEA650C6BE351C3E/PROCESSO SELETIVO PARA ESTAGIO maio 2021.docx
71,202,0,edoc_793/2021/05/03/A6CF92DF7E681C79228DD9EC/Manual Acesso Externo 1Doc .pdf
72,231,0,edoc_793/2021/05/03/7A69D1E98B43D1F99F217621/PIC 07018020213 SIGILO - DENÚNCIA RESIDENCIAL ACRE.pdf
73,243,0,edoc_793/2021/05/04/A0A33B5FE7E7928E30178C0C/CCF_000082.pdf
74,244,0,edoc_793/2021/05/04/252F07FD06BEE8D69B82F41D/PPP_Plinio_Luiz_Capitani_2003_a_Mai_2021.pdf
75,247,0,edoc_793/2021/05/04/2BBC9F440160DCB08F35F968/tesste.pdf
76,248,0,edoc_793/2021/05/04/A88E1A1241AB67B99BD0AE6C/tesste_2_.pdf
77,250,0,edoc_793/2021/05/04/4A5941A64568793F741E308B/CertificadoTreinamento_SAMAE_sobre_LGPD.pdf
78,250,0,edoc_793/2021/05/04/4A5941A64568793F741E308B/certificado_treinamento_1DOC.pdf
79,0,252,edoc_793/2021/05/05/F774E09CB538FB37F37C004F/Mem_PIC_da_Ouvidoria_PMJS_ETE_AV_rev1.pdf
80,253,0,edoc_793/2021/05/05/F73B0AD2BD521B50F559CD79/Scan.pdf
81,257,0,edoc_793/2021/05/05/C5C3A571FE229C2A8283DBEE/Reclamacao.jpg
82,258,0,edoc_793/2021/05/05/FE1580AD149654D6EE184BE7/ART_6359055_1.pdf
83,258,0,edoc_793/2021/05/05/FE1580AD149654D6EE184BE7/Scan0002.pdf
84,258,0,edoc_793/2021/05/05/FE1580AD149654D6EE184BE7/D__Trabalho__Aristides__Trabalho_Delmax_Hidrossanitario_delmax_ARQUITETONICO_1_.pdf
85,258,0,edoc_793/2021/05/05/FE1580AD149654D6EE184BE7/2D__Trabalho__Aristides__Trabalho_Delmax_Hidrossanitario_delmax_ARQUITETONICO_1_.pdf
86,259,0,edoc_793/2021/05/05/B16E6CF7C8BD6A2A44E6FFCC/Orcamento_2021_Revisado.xlsx
87,260,0,edoc_793/2021/05/05/150E2314B9D5F53635765BB5/GRAFICOS_POCOS_2_.pdf
88,260,0,edoc_793/2021/05/05/150E2314B9D5F53635765BB5/NR_PM_J1_14736_2021_0_2_.pdf
89,260,0,edoc_793/2021/05/05/150E2314B9D5F53635765BB5/NR_PM_J2_14735_2021_0_2_.pdf
90,260,0,edoc_793/2021/05/05/150E2314B9D5F53635765BB5/NR_PM_J3_14734_2021_0_2_.pdf
91,260,0,edoc_793/2021/05/05/150E2314B9D5F53635765BB5/NR_PM_M1_14737_2021_0_2_.pdf
92,260,0,edoc_793/2021/05/05/150E2314B9D5F53635765BB5/OFICIO_Resposta_a_Fujama_quanto_aos_pocos_2_.pdf
93,264,0,edoc_793/2021/05/05/426B7A7E83921F953399705B/1_Oficio_Resposta_a_Fujama_quanto_aos_pocos_2_.pdf
94,264,0,edoc_793/2021/05/05/426B7A7E83921F953399705B/2_Graficos_dos_pocos_de_monitoramento_PM_2_.pdf
95,264,0,edoc_793/2021/05/05/426B7A7E83921F953399705B/3_NR_PM_M1_14737_2021_0_2_.pdf
96,264,0,edoc_793/2021/05/05/426B7A7E83921F953399705B/4_NR_PM_J1_14736_2021_0_2_.pdf
97,264,0,edoc_793/2021/05/05/426B7A7E83921F953399705B/5_NR_PM_J2_14735_2021_0_2_.pdf
98,264,0,edoc_793/2021/05/05/426B7A7E83921F953399705B/6_NR_PM_J3_14734_2021_0_2_.pdf
99,274,0,edoc_793/2021/05/05/1C6BBCF828CF364D7AF1E433/FICHA_DE_CADASTRO_PARA_SERVICO_DE_COLETA_DE_RESIDUOS_SOLIDOS_V1.docx
100,274,0,edoc_793/2021/05/05/1C6BBCF828CF364D7AF1E433/CONTRATO_DE_ADESAO_PARA_PRESTACAO_DE_SERVICO_DE_ABASTECIMENTO_DE_AGUA_E_COLETA_DE_ESGOTO_V1.docx
101,274,0,edoc_793/2021/05/05/1C6BBCF828CF364D7AF1E433/CONTRATO_DE_ADESAO_PARA_PRESTACAO_DE_SERVICO_DE_ABASTECIMENTO_TEMPORARIO_DE_AGUA_V1.docx
102,277,0,edoc_793/2021/05/05/2C73DDAA766AC2001F492977/Termo_de_Confidencialidade_SAMAE_V_1_2_.docx
103,282,0,edoc_793/2021/05/05/E49C1D3882531FC107402534/ADA86F48_96FC_4319_8F32_24691C5D1E94.jpeg
104,0,283,edoc_793/2021/05/05/59ABDC758DC6611AE59F125B/scan0081.pdf
105,286,0,edoc_793/2021/05/05/48862C84BDB1CDCD9B6EE46A/ART.pdf
106,286,0,edoc_793/2021/05/05/48862C84BDB1CDCD9B6EE46A/Memorial_SAMAE_RESERVATORIOS.pdf
107,286,0,edoc_793/2021/05/05/48862C84BDB1CDCD9B6EE46A/PHS_01_08.pdf
108,286,0,edoc_793/2021/05/05/48862C84BDB1CDCD9B6EE46A/PHS_02_08.pdf
109,286,0,edoc_793/2021/05/05/48862C84BDB1CDCD9B6EE46A/PHS_03_08.pdf
110,286,0,edoc_793/2021/05/05/48862C84BDB1CDCD9B6EE46A/PHS_04_08.pdf
111,286,0,edoc_793/2021/05/05/48862C84BDB1CDCD9B6EE46A/Schimidt_arquitetonico_P1_A1.pdf
