id,id_fluxo,assunto,descricao
727,4,Problemas Esgoto,
728,4,Assistência Social,
729,4,Conduta de Funcionários,
730,4,Creches e Escolas,
731,4,Educação,
732,4,Falta de vagas,
733,4,Merenda,
734,4,Professores,
735,4,Transporte escolar,
736,4,Estabelecimento irregular,
737,4,Condição sanitária irregular,
738,4,Estabelecimento com acessibilidade irregular,
739,4,Estabelecimento sem alvará,
740,4,Estabelecimento sem nota fiscal,
741,4,Estabelecimento sem saída de emergência,
742,4,Falta de Higiene,
743,4,Mercadorias vencidas,
744,4,Ocupação irregular de área pública,
745,4,Governo,
746,4,Abuso de poder,
747,4,Demora em processo,
748,4,Desorganização,
749,4,Desvio de função,
750,4,Desvio de verba pública,
751,4,Nepotismo,
752,4,Iluminação e Energia,
753,4,Limpeza e Conservação,
754,4,Coleta de Lixo Comum,
755,4,Coleta pesada,
757,4,Entulho em via pública,
758,4,Limpeza em terreno baldio,
759,4,Limpeza urbana,
760,4,Mato alto,
761,4,Meio Ambiente,
762,4,Aterro sanitário irregular,
763,4,Desmatamento irregular,
764,4,Maus tratos a animais,
765,4,Poluição Ambiental,
766,4,Queimada irregular,
767,4,Outros,
768,4,Praça e ou quadra para lazer e esportes,
769,4,Programas Socias,
770,4,Recursos Humanos,
771,4,Saúde,
772,4,Demora em marcar consulta / procedimento,
773,4,Falta de materiais em Posto de Saúde,
774,4,Falta de medicação,
775,4,Foco de dengue,
776,4,Infestação / Proliferação de animais ou pragas,
777,4,Médicos,
778,4,Postos de Saúde,
779,4,Transporte para tratamento,
780,4,Vacinas,
781,4,Segurança,
782,4,Baderna,
783,4,Ponto de assalto/roubo,
784,4,Ponto de tráfico de drogas,
785,4,Risco de desmoronamento,
786,4,Trânsito e Vias,
787,4,Acessibilidade para deficientes visuais,
788,4,Asfalto,
789,4,Bloqueio na via,
790,4,Buraco,
791,4,Calçadas,
792,4,Estacionamento irregular,
793,4,Faixa de pedestre,
794,4,Lombadas,
795,4,Placas de sinalização,
796,4,Semáforos,
797,4,Via sem pavimentação (Estrada de chão),
798,4,Transporte Público,
799,4,Horários,
800,4,Ônibus danificado,
801,4,Ponto de ônibus,
802,4,Super-lotação,
803,4,Transporte irregular,
804,4,Urbanismo e Infraestrutura,
805,4,Construção Irregular,
806,4,Demora em Obra Pública,
807,4,Fiscalização de Obras,
808,4,Imóvel abandonado,
809,4,Invasão de área pública,
810,4,Serviço mal feito,
811,4,Poda de árvores de rua,
2621,5,Cidadãos,
2622,5,Empresas,
2623,5,Fornecedores,
2624,5,Entidades do Terceiro Setor,
2625,5,"Protocolos: Licença Prêmio, Férias e 13º Salário",
2626,5,Doação de Poço Tubular,
2627,5,Alvará sanitário,
2628,5,Cancelamento de Débitos,
2629,5,Isenção de Taxas/Tarifas,
2630,5,Alvará de funcionamento,
2631,5,Baixa de Alvará de Funcionamento,
2632,5,Encerramento de atividades,
2633,5,Cancelamento de Débitos de ISSQN,
2634,5,Baixa de Inscrição Municipal,
2635,5,Ligação de esgoto,
2636,5,Solicitação de Auxilio Bolsa de Estudos,"<p><strong>Solicitação de Auxilio Bolsa de Estudos</strong></p>
<p>Documentos necessários:</p>
<p>- Atestado de Matricula;</p>
<p>- Boleto da Mensalidade;</p>"
2637,5,Ligação Nova Água,"<p style=""font-size: medium;""><strong>Finalidade</strong></p>
<p style=""font-size: medium;"">Solicita&ccedil;&atilde;o para implantar um conjunto de tubula&ccedil;&otilde;es e equipamentos para ligar a instala&ccedil;&atilde;o predial &agrave; rede de distribui&ccedil;&atilde;o de &Aacute;gua e Esgoto. Solicita&ccedil;&atilde;o para cadastrar o im&oacute;vel para cobran&ccedil;a da tarifa dos res&iacute;duos s&oacute;lidos.</p>
<p style=""font-size: medium;""><strong>Requisitos Exigidos do Usu&aacute;rio</strong></p>
<p style=""font-size: medium;"">- Documentos descritos no Art. 60 do regulamento do Samae;&nbsp;<br />- Contrato de compra e venda, escritura ou matr&iacute;cula do im&oacute;vel;<br />- Identidade e CPF;<br />- Alvar&aacute; de constru&ccedil;&atilde;o ou IPTU.</p>
<p style=""font-size: medium;""><strong>Etapas do Processo</strong></p>
<ol style=""font-size: medium;"">
<li>Obrigatoriamente o requerente dever&aacute; solicitar o servi&ccedil;o no presencialmente na sede do Samae;</li>
<li>Preparar o padr&atilde;o de liga&ccedil;&atilde;o de &aacute;gua conforme ""Manual de Instala&ccedil;&atilde;o de Caixa Padr&atilde;o"" entregue ao requerente junto a solicita&ccedil;&atilde;o, ap&oacute;s executado o padr&atilde;o, comunica-se o Samae presencialmente ou por meio do telefone.</li>
</ol>
<p style=""font-size: medium;""><strong><br />Previs&atilde;o do prazo m&aacute;ximo para a presta&ccedil;&atilde;o do servi&ccedil;o</strong></p>
<p style=""font-size: medium;"">- Prazo de liga&ccedil;&atilde;o de &aacute;gua/esgoto em at&eacute; 10 dias &uacute;teis;<br />- Cadastro somente para cobran&ccedil;a de Res&iacute;duos s&oacute;lidos &eacute; ativado de imediato.</p>
<p style=""font-size: medium;""><strong><br />Forma de presta&ccedil;&atilde;o do servi&ccedil;o</strong></p>
<p style=""font-size: medium;"">- Os servi&ccedil;os s&atilde;o prestados pela Diretoria de Obras.</p>
<p style=""font-size: medium;""><strong><br />Prioridades de atendimento</strong></p>
<p style=""font-size: medium;"">Atendimento preferencial para gestantes, lactantes ou pessoas com crian&ccedil;as de colo; pessoa idosa (acima de 60 anos); e portadores de necessidades especiais.</p>
<ul style=""font-size: medium;"">
<li><a style=""color: inherit;"" href=""http://www.planalto.gov.br/ccivil_03/leis/l10048.htm""><strong>Lei n&ordm; 10.048/00</strong></a>&nbsp;e&nbsp;<a style=""color: inherit;"" href=""http://www.planalto.gov.br/ccivil_03/leis/2003/l10.741.htm""><strong>Lei n&ordm; 10.741/03</strong></a></li>
</ul>"
2638,5,Certidão de confrontantes,
2639,5,Viabilidade Técnica Hídrica,
2640,5,Certidão de Tempo de Cadastro,
2641,5,Certidão Negativa de Débitos Municipais,
2642,5,Solicitação de Aditivo de prazo ou Reajustes,"<p><strong>Documentos para encaminhar essa solicitação:</strong></p>
<p><strong>Regularidade Fiscal:</strong></p>
<p>- Prova de regularidade relativa ao Fundo de Garantia por Tempo de Serviço – FGTS;</p>
<p>- Certidão Conjunta Negativa (ou Certidão Positiva com efeitos de Negativa) de Débitos relativos aos Tributos Federais e à Dívida Ativa da União, expedida pela Secretaria da Receita Federal do Brasil, abrangendo   inclusive as contribuições sociais previstas nas alíneas “a” e “d” do parágrafo único do art.11 da Lei nº 8.212, de 24 de julho de 1991, consoante Portaria Conjunta RFB/PGFN Nº 1751, de 02 de outubro de 2014;</p>
<p>- Prova de regularidade relativa com a Fazenda Estadual, da sede da empresa;</p>
<p>- Prova de regularidade relativa com a Fazenda Municipal, da sede da empresa;</p>
<p>- Prova de inscrição no Cadastro Nacional de Pessoas Jurídicas (CNPJ);</p>
<p>- Certidão Negativa de Débitos Trabalhistas, emitida pelo Tribunal Superior do Trabalho, conforme Lei n° 12.440/2011</p>
<p>- Declaração que não emprega menores conforme inciso <span style=""font-size:10pt;""><span style=""color:#000000;"">XXXIII do artigo 7º da Constituição </span>Federal</span></p>
<p> </p>
<p><strong>Qualificação Econômico-Financeira:</strong></p>
<p>-  Certidão negativa de falência ou concordata expedida pelo distribuidor da sede da empresa.</p>
<p> </p>
<p> </p>"
2643,5,Cópia de Projeto,
2644,5,Solicitação de Impugnação para Edital de Licitação,
2645,5,Habite-se,
2646,5,Solicitação de Esclarecimento para edital em Licitação,
2647,5,IPTU,
2648,5,Isenção de IPTU,
2649,5,ISSQN,
2650,5,ITBI,
2651,5,Licença Remunerada,
2652,5,Entrega de envelopes de Licitação,
2653,5,Ligação de esgoto,
2654,5,Parcelamento de débitos municipais,
2655,5,Progressão na carreira,
2656,5,Viabilidade de construção,
2657,5,Outro,
2658,5,Solicitação Certidão por Tempo de Serviço,
2659,5,Certidão de Uso do Solo,
2660,5,Concessão de Maquinário,
2661,5,Licença para tratamento de saúde,
2662,5,Solicitação de Licença Não Remunerada,"<p><span style=""text-decoration:underline;""><strong>Informações Obrigatórias:</strong></span></p>
<p>- Número da Matrícula:</p>
<p>- Nome Cargo:</p>
<p>- Data de Início do Afastamento:</p>"
2663,5,Solicitação de Férias,"<p style=""text-align:left;""><strong>Solicitação de Férias</strong></p>
<p style=""text-align:left;""> Preencha os campos solicitados, conforme sua necessidade.</p>
<p style=""text-align:left;""> </p>
<p style=""text-align:left;""> </p>"
2664,5,Solicitação de Revisão em Folha de Pagamento,
2665,5,Atestado Médico,
2666,5,Religação,"<p style=""color:#3e4d5c;font-size:13px;font-weight:400;"">Se houver corte, o usuário deverá regularizar os débitos pendentes, e após comunicar ao SAMAE, por telefone ou pessoalmente, e solicitar a religação. A taxa do serviço (corte/religação) será lançada na próxima conta.</p>
<p style=""color:#3e4d5c;font-size:13px;font-weight:400;"">Nos casos de Corte Simples ou com Bucha, após o acerto dos débitos, a religação e restabelecimento do abastecimento ocorrerá em até 24(vinte e quatro) horas úteis. </p>
<p style=""color:#3e4d5c;font-size:13px;font-weight:400;"">E nos casos de Corte no Cavalete, Corte no Ramal e Corte na Rede, o abastecimento será restabelecido em 2 dias úteis, após a quitação da dívida.</p>
<p style=""color:#3e4d5c;font-size:13px;font-weight:400;"">Os valores dos cortes e religação são determinados por Decreto. </p>"
2667,5,Solicitação de Exoneração de cargo,
2668,5,Solicitação de Aposentadoria,
2669,5,Solicitação de Licença Prêmio,
2670,5,Justificativa de ausência,
2671,5,Prestação de contas de convênio,
2672,5,Numeração Predial,
2673,5,Solicitação de Margem para Empréstimo Consignado,
2674,5,Solicitação de Autorização de Viagem,
2675,5,Prestação de contas de Diárias,
2676,5,Informe de Rendimentos para Imposto de Renda,
2677,5,Holerite,
2678,5,Recurso de Infração de Transito (JARI),
2679,5,Solicitação de Auxilio Maternidade,"<p><strong>Solicitação de Auxilio Maternidade</strong></p>
<p>Documentos necessários:</p>
<p>- Cópia da certidão de nascimento da criança;</p>"
2680,5,Solicitação de Não-Antecipação de 13º Salário,<p>Preencher a requisição para esta solicitação. </p>
2681,5,Regularização Fundiária,
2682,5,Solicitação de Prorrogação de Prazo de Entrega,
2683,5,Declaração de Perfil Profissiográfico Previdenciário - PPP,
2684,5,Cancelamento de NFS-e,
2685,5,Autorização para emissão de NFS-e,
2686,5,Nota fiscal avulsa,
3513,8,Pedido,"<p style=""color: #333333;"">A Lei n&ordm; 12.527, sancionada pela Presidenta da Rep&uacute;blica em 18 de novembro de 2011, tem o prop&oacute;sito de regulamentar o direito constitucional de acesso dos cidad&atilde;os &agrave;s informa&ccedil;&otilde;es p&uacute;blicas e seus dispositivos s&atilde;o aplic&aacute;veis aos tr&ecirc;s Poderes da Uni&atilde;o, Estados, Distrito Federal e Munic&iacute;pios.</p>
<p style=""color: #333333;"">A publica&ccedil;&atilde;o da Lei de Acesso a Informa&ccedil;&otilde;es significa um importante passo para a consolida&ccedil;&atilde;o democr&aacute;tica do Brasil e tornar poss&iacute;vel uma maior participa&ccedil;&atilde;o popular e o controle social das a&ccedil;&otilde;es governamentais, o acesso da sociedade &agrave;s informa&ccedil;&otilde;es p&uacute;blicas permite que ocorra uma melhoria na gest&atilde;o p&uacute;blica.</p>
<p style=""color: #333333;"">Este espa&ccedil;o foi dispon&iacute;bilizado para permitir a pesquisa das informa&ccedil;&otilde;es publicadas e solicitar informa&ccedil;&otilde;es que n&atilde;o estejam dispon&iacute;veis.</p>"
3514,4,Ligação Clandestina,
3515,4,Vazamento/Desperdício de Água,
3516,4,Estabelecimento irregular,
3517,6,Processo Licitatório,
3518,6,Pagamento,
3519,6,Compras,<p>Abertura do Processo de Compras do SAMAE. </p>
3520,6,Diárias,<p><strong>OBS: EM CASO DE EVENTO ANEXAR A DOCUMENTAÇÃO DO EVENTO. </strong></p>
3521,6,Proc. Administrativo Disciplinar,
3522,8,Legislação,
3523,8,Dívida Pública,
3524,8,Licitações,
3525,8,Cópia de Documentos,
3526,8,Contratos,
3527,9,Administrativa,
3528,9,Extrajudicial,
3529,9,Fiscal,
3530,9,Judicial,
3532,6,Assunto com subassunto,
3537,5,Vistoria ou Análise de Projetos,
3547,5,Análise de Projeto de Edificações,"<p><strong>Favor identificar corretamente o proprietário do Imóvel, caso contrário o protocolo será devolvido.</strong></p>"
3548,5,Análise de Projeto de Loteamentos,"<p><strong>Favor identificar corretamente o proprietário do Imóvel, caso contrário o protocolo será devolvido.</strong></p>"
3549,5,Vistorias de Projetos,
3550,5,Vistoria de Edificações acima de 750m² ou acima de 2 pavimentos.,"<p><strong>Favor identificar corretamente o proprietário do Imóvel, caso contrário o protocolo será devolvido.</strong></p>"
3551,5,Vistoria de Loteamentos,"<p><strong>Favor identificar corretamente o proprietário do Imóvel, caso contrário o protocolo será devolvido.</strong></p>"
3552,5,Protocolo,
3553,5,Oficios,
3554,5,Correspondências,
3555,5,Solicitação de Atestado de Capacidade Técnica,
3556,5,Solicitação de Dispensa de Penalidades,
3557,5,Solicitação de Salário Família,"<p><strong>Solicitação de Salário Família</strong></p>
<p>Documentos necessários:</p>
<p>- Cópia da certidão de nascimento da criança;</p>"
3558,5,Solicitação de Declaração Para Creche/Escola,
3559,5,Solicitação de Vale Transporte,
3560,5,Jurídico,
3561,5,Solicitação de Parecer,
3562,5,Oficios,
3563,6,Autorização de Viagem,"<p>Documento para solicitação de Autorização de Viagem a serviço do Samae.</p>
<p style=""text-align:justify;""><strong>ATENÇÃO PARA PRESTAÇÃO DE CONTAS.</strong></p>
<p style=""text-align:justify;"">Exigências conforme Lei N° 8.937/2021</p>
<p style=""text-align:justify;""><span style=""color:#333333;font-size:16px;"">a) Comprovante de deslocamento: Autorização de Uso de Veículo, quando utilizado veículo oficial; Bilhete de Passagem, se for transporte coletivo; ou Comprovante de Embarque, para transporte aéreo;</span><br style=""color:#333333;font-size:16px;"" /><span style=""color:#333333;font-size:16px;"">b) Comprovante de estada no local de destino:</span><br style=""color:#333333;font-size:16px;"" /><br style=""color:#333333;font-size:16px;"" /><span style=""color:#333333;font-size:16px;"">1. Nota Fiscal de hospedagem;</span><br style=""color:#333333;font-size:16px;"" /><span style=""color:#333333;font-size:16px;"">2. Nota Fiscal de alimentação;</span><br style=""color:#333333;font-size:16px;"" /><span style=""color:#333333;font-size:16px;"">3. Nota de abastecimento do veículo (motorista);</span><br style=""color:#333333;font-size:16px;"" /><span style=""color:#333333;font-size:16px;"">4. outros documentos idôneos que possam comprovar a estada;</span><br style=""color:#333333;font-size:16px;"" /><br style=""color:#333333;font-size:16px;"" /><span style=""color:#333333;font-size:16px;"">c) cumprimento do objetivo da </span><span style=""color:#1a1a1a;"">viagem</span><span style=""color:#333333;font-size:16px;"">:</span><br style=""color:#333333;font-size:16px;"" /><span style=""color:#333333;font-size:16px;"">1. lista de freqüência, ata de reunião ou certificado, quando se tratar de participação em evento ou atividade de capacitação ou formação profissional;</span><br style=""color:#333333;font-size:16px;"" /><span style=""color:#333333;font-size:16px;"">2. outros documentos idôneos que comprovem o objetivo da </span><span style=""color:#1a1a1a;"">viagem</span><span style=""color:#333333;font-size:16px;"">.</span></p>"
3564,6,Adiantamento de Viagem,"<p style=""text-align:justify;"">Documento para solicitação de adiamento de viagem.</p>
<p style=""text-align:justify;""><strong>ATENÇÃO PARA PRESTAÇÃO DE CONTAS.</strong></p>
<p style=""text-align:justify;"">Exigências conforme Lei N° 8.937/2021</p>
<p style=""text-align:justify;""><span style=""color:#333333;font-size:16px;"">a) Comprovante de deslocamento: Autorização de Uso de Veículo, quando utilizado veículo oficial; Bilhete de Passagem, se for transporte coletivo; ou Comprovante de Embarque, para transporte aéreo;</span><br style=""color:#333333;font-size:16px;"" /><span style=""color:#333333;font-size:16px;"">b) Comprovante de estada no local de destino:</span><br style=""color:#333333;font-size:16px;"" /><br style=""color:#333333;font-size:16px;"" /><span style=""color:#333333;font-size:16px;"">1. Nota Fiscal de hospedagem;</span><br style=""color:#333333;font-size:16px;"" /><span style=""color:#333333;font-size:16px;"">2. Nota Fiscal de alimentação;</span><br style=""color:#333333;font-size:16px;"" /><span style=""color:#333333;font-size:16px;"">3. Nota de abastecimento do veículo (motorista);</span><br style=""color:#333333;font-size:16px;"" /><span style=""color:#333333;font-size:16px;"">4. outros documentos idôneos que possam comprovar a estada;</span><br style=""color:#333333;font-size:16px;"" /><br style=""color:#333333;font-size:16px;"" /><span style=""color:#333333;font-size:16px;"">c) cumprimento do objetivo da </span><span style=""color:#1a1a1a;"">viagem</span><span style=""color:#333333;font-size:16px;"">:</span><br style=""color:#333333;font-size:16px;"" /><span style=""color:#333333;font-size:16px;"">1. lista de freqüência, ata de reunião ou certificado, quando se tratar de participação em evento ou atividade de capacitação ou formação profissional;</span><br style=""color:#333333;font-size:16px;"" /><span style=""color:#333333;font-size:16px;"">2. outros documentos idôneos que comprovem o objetivo da </span><span style=""color:#1a1a1a;"">viagem</span><span style=""color:#333333;font-size:16px;"">.</span></p>"
