id,id_setor,id_doc
1,4,1
2,8,1
3,8,3
4,4,3
5,4,5
6,8,5
7,6,6
8,4,6
9,4,7
10,5,7
11,4,8
12,0,9
13,9,9
14,0,10
15,9,10
16,9,12
17,9,15
18,0,15
19,6,8
20,5,8
23,5,19
24,5,20
25,4,20
26,4,21
27,8,21
28,3,22
29,0,22
30,3,23
31,0,23
32,3,24
33,0,24
34,3,25
35,8,25
36,0,25
37,3,26
38,6,27
39,4,27
40,4,28
41,0,30
42,9,30
43,8,32
44,4,32
45,8,33
46,4,33
47,9,34
48,0,34
49,9,35
50,8,36
51,2,36
52,4,36
53,3,36
54,9,36
55,6,15
56,8,35
58,0,39
59,0,41
60,4,41
61,0,42
62,3,42
63,4,43
64,4,45
65,4,46
66,4,47
67,5,47
68,8,48
69,4,48
70,8,49
71,4,49
72,4,50
73,6,50
74,9,50
75,4,53
76,2,53
77,8,53
78,0,56
79,9,56
80,0,57
81,9,57
83,0,58
84,4,62
85,8,62
86,0,64
87,9,64
88,0,65
89,9,65
90,2,66
91,4,68
92,8,68
93,4,69
94,5,69
95,7,69
96,6,69
97,0,70
98,9,70
99,3,71
100,8,71
101,0,71
102,4,72
103,4,73
104,4,74
105,2,74
106,4,76
107,5,76
108,7,76
109,9,78
110,2,78
111,4,79
112,6,79
113,4,80
114,2,80
115,9,81
116,4,81
118,4,82
125,4,86
133,12,92
148,22,110
150,19,111
153,0,112
158,22,114
163,19,118
166,4,118
168,22,121
169,24,121
173,0,130
176,19,136
183,22,142
185,0,146
187,0,147
191,19,149
192,4,149
195,0,150
198,19,152
208,0,165
215,0,175
217,0,194
224,4,195
237,11,195
241,13,195
253,37,195
255,42,195
260,4,196
273,11,196
275,30,196
277,13,196
291,22,198
294,0,198
297,0,199
300,19,201
307,45,211
310,11,211
311,30,213
316,0,214
319,0,215
324,4,216
337,11,216
339,30,216
341,13,216
353,37,216
355,26,217
359,0,218
362,0,220
373,20,229
375,20,230
380,11,232
393,22,243
398,10,247
399,10,248
400,40,249
404,4,251
406,19,253
415,0,256
416,22,257
417,0,258
419,4,259
429,11,259
431,30,259
433,13,259
449,36,264
457,20,271
462,10,273
466,4,274
471,4,277
472,0,279
481,0,282
484,0,286
486,11,280
487,11,281
488,20,288
490,20,289
494,0,290
497,0,291
500,0,292
501,20,293
503,20,295
505,24,296
510,0,302
514,6,304
517,4,307
523,0,310
526,4,312
530,0,313
531,0,314
538,10,323
542,0,328
550,19,334
569,0,354
575,0,356
576,20,357
578,11,356
581,0,360
584,0,361
585,11,355
588,0,363
591,0,366
592,20,367
595,13,356
601,0,372
604,0,376
607,0,377
610,0,379
613,0,380
616,0,381
620,0,383
621,0,385
623,4,372
628,0,390
629,49,391
632,0,397
640,4,405
644,0,406
647,0,407
650,0,409
651,49,410
654,0,411
657,0,412
664,41,416
667,0,417
668,4,291
676,0,425
679,0,427
682,45,431
685,11,431
688,0,441
691,20,443
696,19,448
699,20,451
701,26,452
711,37,453
712,26,454
715,26,455
717,0,456
720,26,457
722,40,458
724,49,459
727,26,462
733,0,465
743,20,475
745,20,476
747,20,477
749,20,478
751,20,479
756,0,482
767,11,490
768,0,490
769,13,490
770,45,492
773,20,493
781,49,499
795,0,514
798,20,515
800,0,516
803,22,518
807,0,519
810,0,524
813,0,526
814,51,527
816,0,531
818,0,533
832,28,549
835,0,551
839,20,557
841,20,558
845,0,559
848,0,560
851,0,561
854,0,562
857,0,563
860,0,564
863,0,567
868,4,570
870,30,576
875,0,578
885,49,589
886,20,595
891,0,597
894,0,599
895,20,601
902,0,606
905,0,607
908,0,608
917,41,620
926,0,634
932,0,638
936,6,643
944,0,651
945,0,654
949,0,656
961,0,669
970,22,674
977,0,680
981,11,676
982,0,691
988,4,692
998,13,692
1011,0,702
1018,0,710
1019,20,711
1023,0,718
1029,42,722
1037,0,726
1040,0,730
1047,13,733
1048,16,733
1052,0,735
1064,11,724
1068,11,760
1071,0,764
1074,0,765
1077,0,766
1079,0,768
1087,0,771
1094,0,777
1098,0,779
1099,28,782
1105,0,787
1115,4,788
1129,11,788
1131,30,788
1133,13,788
1135,16,788
1147,20,795
1154,6,800
1167,49,805
1168,0,806
1174,4,807
1180,11,811
1187,49,814
1192,0,823
1196,0,827
1205,11,829
1215,20,839
1225,0,845
1229,20,847
1231,20,849
1233,0,851
1236,0,852
1243,38,855
1248,4,826
1249,20,859
1251,20,860
1257,0,864
1260,0,866
1263,0,867
1266,0,868
1289,0,892
1294,51,895
1295,4,895
1296,51,898
1297,0,902
1299,51,903
1320,0,919
1323,0,922
1334,4,930
1344,11,930
1346,30,930
1348,13,930
1350,16,930
1361,37,930
1363,0,931
1367,0,939
1369,20,947
1371,2,950
1372,2,951
1373,28,952
1374,20,953
1377,20,955
1381,36,965
1382,35,968
1387,0,973
1390,0,974
1391,0,975
1396,0,978
1402,11,985
1405,0,992
1408,0,993
1413,35,999
1419,0,1004
1422,0,1009
1440,0,1019
1441,20,1020
1445,0,1021
1450,0,1026
1453,0,1030
1462,20,1039
1466,0,1044
1474,22,1057
1477,0,1065
1479,19,1066
1480,4,1066
1487,4,1067
1496,11,1067
1502,16,1067
1513,37,1067
1517,0,1071
1520,0,1072
1521,20,1073
1523,51,1075
1525,51,1076
1527,51,1077
1531,0,1079
1535,0,1081
1538,0,1082
1542,11,1085
1543,26,1087
1545,0,1088
1555,19,1096
1556,4,1096
1558,19,1097
1559,4,1097
1561,19,1098
1563,4,1098
1564,0,1100
1568,0,1101
1569,0,1102
1572,49,1104
1576,0,1106
1580,20,1110
1587,0,1116
1592,20,1120
1610,0,1128
1613,0,1129
1620,11,597
1621,26,1134
1623,0,1135
1626,26,1137
1628,26,1139
1633,11,1144
1649,0,1153
1653,11,1155
1656,0,1158
1657,26,1160
1670,0,1165
1671,20,1167
1673,49,1178
1681,4,1179
1695,11,1179
1697,30,1179
1701,16,1179
1712,37,1179
1729,0,1190
1736,0,1193
1743,0,1201
1747,0,1204
1751,0,1205
1763,49,1211
1765,0,1212
1768,45,1214
1774,0,1216
1779,0,1219
1813,20,1225
1819,20,1228
1821,0,1231
1824,11,1189
1831,0,1234
1832,38,1236
1836,23,1237
1839,38,1239
1843,0,1240
1853,0,1245
1858,0,1246
1868,0,1264
1876,0,1272
1887,0,1276
1890,0,1278
1893,0,1279
1896,0,1280
1898,10,1283
1900,20,1285
1904,0,1286
1911,20,1289
1922,0,1296
1951,45,1308
1962,0,1312
1977,0,1325
1978,0,1326
1999,0,1338
2002,0,1339
2007,0,1341
2010,0,1342
2013,0,1343
2023,0,1347
2031,20,1356
2047,0,1361
2059,0,1365
2074,0,1370
2078,11,1371
2081,0,1373
2084,0,1375
2087,0,1376
2088,20,1377
2096,0,1381
2099,0,1382
2102,20,1391
2104,20,1392
2108,0,1394
2112,0,1399
2121,45,1403
2125,11,1404
2126,0,1404
2130,0,1405
2131,0,1408
2136,0,1415
2139,30,1417
2142,0,1418
2164,0,1426
2172,28,1437
2178,0,1441
2182,26,1446
2194,20,1455
2201,0,1458
2204,0,1459
2205,0,1460
2212,11,1457
2213,11,1463
2216,0,1466
2219,0,1467
2232,0,1477
2235,20,1480
2246,0,1487
2252,0,1489
2256,11,1486
2260,46,1500
2267,4,1508
2271,26,1510
2273,30,1512
2285,0,1520
2287,11,1521
2288,0,1521
2295,4,1524
2299,0,1526
2302,4,1527
2303,0,1529
2307,0,1532
2309,25,1533
2313,0,1534
2321,22,1547
