id,setor,sigla,status
1,1Doc,1Doc,1
2,Presidência,PRESID,1
3,Ouvidoria,OUV,1
4,Assessoria de Gestão,AG,1
5,Assessoria de Comunicação,AC,1
6,Secretaria Executiva,SE,1
7,Assessoria de Apoio Técnico,AAT,1
8,Diretoria Técnica,DT,1
9,Gerência de resíduos sólidos,DRD - GRS,1
10,Assessoria Jurídica,AJ,1
11,Diretoria de Obras,DO,1
12,Diretoria Administrativa,DA,1
13,Diretoria de Manejo de resíduos sólidos e drenagem urbana,DRD,1
14,Gerência de drenagem urbana,DRD - GDU,1
15,Supervisão de resíduos sólidos,DRD - GRS - SRS,1
16,Coordenadoria de infraestrutura e instalações operacionais de drenagem urbana,DRD - GDU - CODU,1
17,Coordenadoria de projetos de drenagem urbana,DRD - GDU - CPDU,1
18,Supervisão de drenagem urbana,DRD - GDU - CP - SDU,1
19,Coordenadoria de Tecnologia da Informação,DA - CTI,1
20,Coordenadoria de Recursos Humanos,DA - CRH,1
21,Coordenadoria de Almoxarifado,DA - CA,1
22,Coordenadoria Comercial,DA - CC,1
23,Supervisão da central de controle operacional,DO - SCCO,1
24,Coordenadoria Contábil e Financeira,DA - CCF,1
25,Coordenadoria de Compras e Licitações,DA - CCL,1
26,Coordenadoria de Controle Patrimonial e Serviços Gerais,DA - CPS,1
27,Assistência de atos jurídicos,AJ - ATJ,1
28,Coordenadoria de projetos e fiscalização,CPF,1
29,Coordenadoria do Sistema de Redes e Ramais de Água,DO - CRA,1
30,Coordenadoria de Redes e Sistema Coletor de Esgoto Sanitário,DO - CRE,1
31,Coordenadoria de Eletromecânica e Automação,DT - CEA,1
32,Coordenadoria de infraestrutura de saneamento,DA - CIS,1
33,Supervisão de manutenção predial,DA - CIS - SMP,1
34,Supervisão de restauração de vias,DA - CIS - SRV,1
35,Coordenadoria de Laboratórios,DT - CL,1
36,Coordenadoria de Tratamento de Esgoto,DT - CTE,1
37,Supervisão de Estação de Tratamento de Esgoto,DT - CTE - STE,1
38,Coordenadoria de Tratamento de Água,DT - CTA,1
39,Supervisão de Estação de Tratamento de Água,DT - CTA - STA,1
40,Coordenadoria de Controle de Perdas,DT - CCP,1
41,Coordenadoria de Qualidade e Meio Ambiente,DT - CQM,1
42,Usuários a definir setor,UDS,1
43,Teste,tt,2
44,Protocolo,DA - CC - PT,1
45,Administrativo Obras,DO - AB,1
46,Comissão de Pregão,DA - CCL - CP,1
47,Comissão de Licitação,DA - CCL - CL,1
48,Comissões Disciplinares,CD,1
49,Comissão Permanente de Processo Administrativo e Processo Administrativo Disciplinar,CD - CPAPD,1
50,Comissão Permanente de Sindicância Administrativa,CD - CPS,1
51,Analista Econômico Financeiro,AEF,1
52,Comissão de Estágio Probatório,CEP,1
53,Lideranças SAMAE Jaraguá do Sul - SC,LSJ,1
54,Comissão Interna de Prevenção de Acidentes,CIPA,1
55,Comissão de Avaliação de Desempenho Funcional,CADF,1
56,Comissão de Acordos Extrajudiciais,CAEJ,1
57,Comissão Especial de Análise de Títulos,CEAT,1
58,Equipe Técnica TI,EQTI,2
59,Assistência Técnica,ASTI,2
60,Coordenador de TI,CDTI,2
61,TI 2 - Compras,TI 2 - Compras,2
62,TI 3 - Jurídico,TI3 - Jurídico,2
63,TI 1 - Requerente,TI1-Requerente,2
64,Comissão Especial Processo Administrativo Disciplinar - Portarias 1234/1235/1236-2022,CD - CEPA -  PT1234/1235/1236-2022,2
65,Segunda Comissão Permanente de Processo Administrativo e Processo Administrativo Disciplinar,CD - CPA - II,2
66,Segunda Comissão Permanente de Sindicância Administrativa,CD - CPS - II,1
67,Comissão especial de Processo Administrativo  Portarias 387/560-2022,CD - CEPA - PT387/560-2022,2
68,Distribuição Nota Fiscal,DNF,2
69,Setor de Vistoria de Esgoto Habite-se,VEH,1
70,TI4 - Presidência,TI4 - Presidência,2
71,Comissão de Análise de Defesas Administrativas de Saneamento,CD - CADAS,1
72,Comissão especial de Processo Administrativo Disciplinar 314/2024,CEPA - PT314/2024,1
