id,id_usuario,id_setor,principal
1,1,1,1
2,2,1,1
3,3,1,1
4,4,4,1
5,5,2,1
6,6,3,1
9,9,6,1
10,10,7,1
11,11,8,1
12,12,9,1
13,13,3,1
14,14,4,1
15,15,5,1
17,17,7,1
18,18,8,1
19,19,9,1
20,20,4,1
22,22,6,1
23,23,7,1
24,24,8,1
25,25,9,1
26,26,6,1
28,7,4,1
29,8,5,1
30,21,5,1
31,16,6,1
32,26,5,0
33,27,5,1
34,27,7,0
35,28,6,1
36,29,8,1
37,30,2,1
46,34,19,1
48,33,19,1
123,37,45,1
127,42,22,1
128,43,22,1
134,49,38,1
135,50,38,1
136,51,31,1
137,52,31,1
138,67,22,1
140,65,35,1
141,64,28,1
142,63,25,1
144,61,38,1
145,60,21,1
146,59,22,1
152,55,22,1
159,70,25,1
160,71,20,1
165,72,28,1
166,73,38,1
176,78,25,1
190,82,14,1
192,84,38,1
195,87,22,1
205,92,24,1
207,93,22,1
209,94,38,1
212,95,20,1
221,98,22,1
228,102,24,1
229,103,24,1
237,106,22,1
247,111,24,1
251,112,38,1
255,115,36,1
257,116,20,1
278,123,38,1
282,130,36,1
284,128,24,1
285,127,38,1
291,131,24,1
292,132,31,1
297,133,31,1
299,134,9,1
302,119,38,1
309,115,37,0
325,46,45,1
349,138,31,1
382,77,44,1
383,77,22,0
385,145,21,1
390,146,36,1
419,35,19,1
422,149,45,1
425,151,36,1
428,152,38,1
430,153,40,1
447,154,40,1
459,156,36,1
593,158,36,1
594,159,36,1
595,160,36,1
596,161,36,1
599,162,36,1
600,163,38,1
609,164,9,1
610,165,36,1
613,166,36,1
615,167,28,1
627,172,45,1
628,171,36,1
662,86,45,1
671,174,42,1
672,45,42,1
673,66,42,1
674,108,42,1
675,58,42,1
676,175,36,1
678,176,36,1
684,178,36,1
685,177,40,1
710,181,36,1
728,97,38,1
736,180,19,1
747,169,44,1
748,169,22,0
762,150,22,1
764,144,42,1
776,190,25,1
777,189,24,1
807,129,42,1
810,193,11,1
812,194,19,1
813,179,28,1
814,182,42,1
815,188,42,1
820,47,10,1
821,47,27,0
823,135,12,1
825,198,7,1
827,197,40,1
829,199,38,1
837,202,36,1
847,170,36,1
849,96,42,1
855,122,42,1
856,184,42,1
857,32,42,1
864,141,42,1
869,142,42,1
870,192,42,1
945,205,24,1
946,203,38,1
948,204,30,1
949,143,36,1
953,148,14,1
955,206,36,1
961,57,10,1
963,57,27,0
966,83,42,1
970,209,21,1
975,149,42,0
988,200,36,1
989,76,36,1
1018,120,45,1
1038,146,37,0
1047,213,42,1
1049,80,22,1
1055,88,42,1
1062,216,2,1
1066,195,42,1
1069,101,23,1
1075,217,36,1
1081,218,42,1
1086,219,5,1
1107,121,51,1
1109,220,42,1
1114,140,42,1
1125,36,4,1
1130,212,36,1
1131,31,19,1
1135,222,40,1
1144,191,42,1
1194,109,26,1
1200,118,41,1
1202,127,53,0
1203,36,53,0
1204,47,53,0
1208,118,53,0
1213,146,53,0
1216,135,53,0
1219,97,53,0
1221,101,53,0
1224,71,53,0
1225,73,53,0
1226,131,53,0
1227,43,53,0
1229,193,53,0
1230,216,53,0
1232,82,53,0
1234,115,53,0
1235,57,53,0
1265,225,10,1
1266,225,27,0
1276,226,22,1
1330,232,36,1
1332,230,38,1
1334,221,40,1
1335,74,20,1
1352,62,36,1
1355,137,36,1
1356,137,53,0
1360,127,39,0
1362,97,39,0
1363,73,39,0
1365,44,42,1
1367,236,38,1
1369,186,42,1
1375,39,42,1
1376,85,42,1
1377,113,42,1
1378,114,42,1
1379,136,42,1
1380,168,42,1
1382,207,42,1
1383,210,42,1
1384,224,42,1
1385,54,41,1
1422,244,9,1
1471,246,30,1
1472,245,30,1
1481,43,44,0
1490,211,31,1
1491,211,53,0
1598,105,35,1
1647,40,8,1
1648,40,53,0
1672,67,55,0
1673,234,42,1
1674,110,28,1
1714,79,26,1
1721,209,54,0
1723,116,54,0
1724,76,54,0
1725,118,54,0
1726,148,54,0
1728,97,54,0
1730,42,54,0
1734,139,40,1
1738,253,9,1
1739,252,8,1
1740,239,19,1
1741,251,22,1
1742,249,22,1
1743,247,23,1
1744,248,23,1
1745,250,41,1
1746,251,44,0
1754,257,28,1
1755,256,24,1
1757,255,26,1
1758,254,38,1
1773,240,42,1
1774,227,42,1
1776,259,25,1
1780,78,47,0
1782,42,47,0
1783,87,47,0
1791,56,41,1
1792,56,47,0
1795,201,22,1
1797,201,44,0
1798,208,8,1
1799,208,54,0
1809,264,42,1
1818,265,22,1
1827,267,9,1
1831,268,28,1
1832,262,22,1
1833,260,23,1
1834,269,45,1
1835,261,22,1
1839,272,25,1
1841,274,14,1
1869,275,25,1
1870,100,36,1
1871,157,36,1
1872,214,16,1
1873,214,53,0
1874,215,38,1
1875,241,45,1
1876,270,23,1
1877,273,35,1
1879,263,38,1
1880,271,40,1
1892,127,49,0
1893,37,49,0
1895,77,49,0
1900,276,31,1
1901,107,49,1
1902,117,35,1
1904,117,53,0
1905,68,35,1
1907,185,54,1
1913,242,42,1
1916,219,53,0
1918,237,21,1
1919,237,53,0
1920,70,53,0
1921,229,26,1
1922,229,53,0
